news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-T1,BUY_LUIS-T2,SELL_LUIS-T1
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,1,2026-02-01 05:41:59.719553,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 05:41:59.719553,ELEC-day2,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 05:41:59.719553,ELEC-day3,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-01 05:41:59.719553,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-01 05:41:59.719553,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-01 05:41:59.719553,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,1,2026-02-01 05:41:59.719553,ELEC-F,0.0,0.0,0.0,,,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,2,2026-02-01 05:42:00.742923,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,2,2026-02-01 05:42:00.742923,ELEC-day2,0.0,0.0,0.0,,,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 05:42:00.742923,ELEC-day3,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 05:42:00.742923,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-01 05:42:00.742923,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-01 05:42:00.742923,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,2,2026-02-01 05:42:00.742923,ELEC-F,0.0,0.0,0.0,,,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,3,2026-02-01 05:42:01.781231,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,3,2026-02-01 05:42:01.781231,ELEC-day2,0.0,0.0,0.0,,,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 05:42:01.781231,ELEC-day3,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 05:42:01.781231,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-01 05:42:01.781231,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-01 05:42:01.781231,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,3,2026-02-01 05:42:01.781231,ELEC-F,0.0,0.0,0.0,,,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,4,2026-02-01 05:42:02.818085,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,4,2026-02-01 05:42:02.818085,ELEC-day2,0.0,0.0,0.0,,,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 05:42:02.818085,ELEC-day3,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 05:42:02.818085,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,4,2026-02-01 05:42:02.818085,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,4,2026-02-01 05:42:02.818085,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,4,2026-02-01 05:42:02.818085,ELEC-F,0.0,0.0,0.0,,,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,5,2026-02-01 05:42:03.846286,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,5,2026-02-01 05:42:03.846286,ELEC-day2,0.0,0.0,0.0,,,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 05:42:03.846286,ELEC-day3,0.0,0.0,0.0,,,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 05:42:03.846286,ELEC-day4,0.0,0.0,0.0,,,0,0,0
,,,,,,5,2026-02-01 05:42:03.846286,ELEC-day5,0.0,0.0,0.0,,,0,0,0
,,,,,,5,2026-02-01 05:42:03.846286,ELEC-day6,0.0,0.0,0.0,,,0,0,0
,,,,,,5,2026-02-01 05:42:03.846286,ELEC-F,0.0,0.0,0.0,,,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,7,2026-02-01 05:42:04.938221,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,7,2026-02-01 05:42:04.938221,ELEC-day2,0.0,0.0,0.0,,,0,0,0
