news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,125.0,2026-02-01 01:45:49.945852,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",125.0,2026-02-01 01:45:49.945852,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,125.0,2026-02-01 01:45:49.945852,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,125.0,2026-02-01 01:45:49.945852,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,125.0,2026-02-01 01:45:49.945852,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
3,1,1,,You are logged in as a DISTRIBUTOR,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
15,3,89,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 13 and 21 degrees Celsius.,126.0,2026-02-01 01:45:51.000620,NG,2.07,2.05,2.09,800000.0,800000.0
14,3,2,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 20 and 27 degrees Celsius.,126.0,2026-02-01 01:45:51.000620,ELEC-day2,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,126.0,2026-02-01 01:45:51.000620,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",126.0,2026-02-01 01:45:51.000620,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,126.0,2026-02-01 01:45:51.000620,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,126.0,2026-02-01 01:45:51.000620,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,126.0,2026-02-01 01:45:51.000620,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
3,1,1,,You are logged in as a DISTRIBUTOR,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
15,3,89,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 13 and 21 degrees Celsius.,127.0,2026-02-01 01:45:52.045936,NG,2.08,2.06,2.1,800000.0,800000.0
14,3,2,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 20 and 27 degrees Celsius.,127.0,2026-02-01 01:45:52.045936,ELEC-day2,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,127.0,2026-02-01 01:45:52.045936,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",127.0,2026-02-01 01:45:52.045936,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,127.0,2026-02-01 01:45:52.045936,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,127.0,2026-02-01 01:45:52.045936,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,127.0,2026-02-01 01:45:52.045936,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
3,1,1,,You are logged in as a DISTRIBUTOR,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
15,3,89,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 13 and 21 degrees Celsius.,128.0,2026-02-01 01:45:53.098196,NG,2.08,2.06,2.1,800000.0,800000.0
14,3,2,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 20 and 27 degrees Celsius.,128.0,2026-02-01 01:45:53.098196,ELEC-day2,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,128.0,2026-02-01 01:45:53.098196,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",128.0,2026-02-01 01:45:53.098196,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,128.0,2026-02-01 01:45:53.098196,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,128.0,2026-02-01 01:45:53.098196,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,128.0,2026-02-01 01:45:53.098196,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
3,1,1,,You are logged in as a DISTRIBUTOR,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
15,3,89,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 13 and 21 degrees Celsius.,129.0,2026-02-01 01:45:54.133156,NG,2.08,2.06,2.1,800000.0,800000.0
14,3,2,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 20 and 27 degrees Celsius.,129.0,2026-02-01 01:45:54.133156,ELEC-day2,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,129.0,2026-02-01 01:45:54.133156,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",129.0,2026-02-01 01:45:54.133156,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,129.0,2026-02-01 01:45:54.133156,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,129.0,2026-02-01 01:45:54.133156,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,129.0,2026-02-01 01:45:54.133156,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
3,1,1,,You are logged in as a DISTRIBUTOR,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
15,3,89,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 13 and 21 degrees Celsius.,130.0,2026-02-01 01:45:55.181917,NG,2.08,2.06,2.1,800000.0,800000.0
14,3,2,,TEMPERATURE Forecast for DAY 4,The average temperature tomorrow is forecasted to be between 20 and 27 degrees Celsius.,130.0,2026-02-01 01:45:55.181917,ELEC-day2,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,130.0,2026-02-01 01:45:55.181917,ELEC-day3,0.0,21.35,21.36,402.0,402.0
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",130.0,2026-02-01 01:45:55.181917,ELEC-day4,0.0,0.0,0.0,,
11,2,150,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow will be 29 degrees Celsius.,130.0,2026-02-01 01:45:55.181917,ELEC-day5,0.0,0.0,0.0,,
10,2,90,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 23 and 31 degrees Celsius.,130.0,2026-02-01 01:45:55.181917,ELEC-day6,0.0,0.0,0.0,,
9,2,2,,TEMPERATURE Forecast for DAY 3,The average temperature tomorrow is forecasted to be between 29 and 37 degrees Celsius.,130.0,2026-02-01 01:45:55.181917,ELEC-F,0.0,0.0,0.0,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow will be 13 degrees Celsius.,,,,,,,,
5,1,90,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 7 and 13 degrees Celsius.,,,,,,,,
4,1,2,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 8 and 18 degrees Celsius.,,,,,,,,
