news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-T1,BUY_LUIS-T1
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,2,2026-02-01 04:53:05.675181,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,2,2026-02-01 04:53:05.675181,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 04:53:05.675181,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 04:53:05.675181,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:53:05.675181,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:53:05.675181,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,2,2026-02-01 04:53:05.675181,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,3,2026-02-01 04:53:06.829579,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,3,2026-02-01 04:53:06.829579,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 04:53:06.829579,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 04:53:06.829579,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:53:06.829579,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:53:06.829579,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,3,2026-02-01 04:53:06.829579,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,4,2026-02-01 04:53:07.957397,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,4,2026-02-01 04:53:07.957397,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 04:53:07.957397,ELEC-day3,0.0,0.0,0.0,,,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 04:53:07.957397,ELEC-day4,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:53:07.957397,ELEC-day5,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:53:07.957397,ELEC-day6,0.0,0.0,0.0,,,0,0
,,,,,,4,2026-02-01 04:53:07.957397,ELEC-F,0.0,0.0,0.0,,,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,5,2026-02-01 04:53:08.987168,NG,2.2,2.18,2.22,800000.0,800000.0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,5,2026-02-01 04:53:08.987168,ELEC-day2,0.0,0.0,0.0,,,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 04:53:08.987168,ELEC-day3,0.0,0.0,0.0,,,0,0
