ticker,last_price,bid_price,ask_price,SELL_UOTB-P,BUY_ANON,BUY_UOTB-D,SELL_UOTB-T1,SELL_UOTB-D,SELL_BABS-P,SELL_ANON,BUY_UOTB-P,tick,timestamp
NG,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-day2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-day3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-day4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-day5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-day6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
ELEC-F,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2026-02-04 16:30:57.952589
NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,3.0,1.0,1.0,,You are logged in as a TRADER,
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract."
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,,,,,,
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,,,,,,
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,,,,,,
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,1,2026-02-04 16:30:58.677915,,,,,,
NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,2,2026-02-04 16:30:59.744348
