news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_GIOT-P,BUY_LUIS-T2,BUY_LUIS-T1,BUY_GIOT-P,SELL_LUIS-T1
3.0,1.0,1.0,,You are logged in as a TRADER,,1,2026-02-01 05:41:59.479536,NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 05:41:59.479536,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 05:41:59.479536,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,1,2026-02-01 05:41:59.479536,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,1,2026-02-01 05:41:59.479536,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,1,2026-02-01 05:41:59.479536,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,1,2026-02-01 05:41:59.479536,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,2,2026-02-01 05:42:00.526049,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 05:42:00.526049,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 05:42:00.526049,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,2,2026-02-01 05:42:00.526049,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,2,2026-02-01 05:42:00.526049,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,2,2026-02-01 05:42:00.526049,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,2,2026-02-01 05:42:00.526049,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,3,2026-02-01 05:42:01.553336,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 05:42:01.553336,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 05:42:01.553336,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,3,2026-02-01 05:42:01.553336,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,3,2026-02-01 05:42:01.553336,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,3,2026-02-01 05:42:01.553336,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0
,,,,,,3,2026-02-01 05:42:01.553336,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a TRADER,,4,2026-02-01 05:42:02.585092,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 05:42:02.585092,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0
