news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,SELL_LUIS-T1,BUY_LUIS-T2,BUY_LUIS-T1,SELL_LUIS-T2
3.0,1.0,1.0,,You are logged in as a PRODUCER,,1,2026-02-01 06:47:11.460775,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-01 06:47:11.460775,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-01 06:47:11.460775,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0
,,,,,,1,2026-02-01 06:47:11.460775,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0
,,,,,,1,2026-02-01 06:47:11.460775,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0
,,,,,,1,2026-02-01 06:47:11.460775,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0
,,,,,,1,2026-02-01 06:47:11.460775,ELEC-F,0.0,0.0,0.0,,,0,0,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,2,2026-02-01 06:47:12.493721,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,2,2026-02-01 06:47:12.493721,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-01 06:47:12.493721,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-01 06:47:12.493721,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0
,,,,,,2,2026-02-01 06:47:12.493721,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0
,,,,,,2,2026-02-01 06:47:12.493721,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0
,,,,,,2,2026-02-01 06:47:12.493721,ELEC-F,0.0,0.0,0.0,,,0,0,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,3,2026-02-01 06:47:13.520338,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,3,2026-02-01 06:47:13.520338,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 06:47:13.520338,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 06:47:13.520338,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0
,,,,,,3,2026-02-01 06:47:13.520338,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0
,,,,,,3,2026-02-01 06:47:13.520338,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0
,,,,,,3,2026-02-01 06:47:13.520338,ELEC-F,0.0,0.0,0.0,,,0,0,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,4,2026-02-01 06:47:14.566758,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,4,2026-02-01 06:47:14.566758,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 06:47:14.566758,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 06:47:14.566758,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0
,,,,,,4,2026-02-01 06:47:14.566758,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0
,,,,,,4,2026-02-01 06:47:14.566758,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0
,,,,,,4,2026-02-01 06:47:14.566758,ELEC-F,0.0,0.0,0.0,,,0,0,0,0
4.0,1.0,1.0,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 3 and 9 hours of sunlight tomorrow.,5,2026-02-01 06:47:15.605717,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a PRODUCER,,5,2026-02-01 06:47:15.605717,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 06:47:15.605717,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 06:47:15.605717,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0
,,,,,,5,2026-02-01 06:47:15.605717,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0
,,,,,,5,2026-02-01 06:47:15.605717,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0
,,,,,,5,2026-02-01 06:47:15.605717,ELEC-F,0.0,0.0,0.0,,,0,0,0,0
