news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON,BUY_LUIS-T1,SELL_CHUL-T1,SELL_CHUL-P,BUY_BOST-D,SELL_LUIS-T2,BUY_CHUL-T1,BUY_LUIS-T2,SELL_LUIS-T1
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,1,2026-02-02 00:55:47.359204,NG,2.2,0.0,0.0,800000.0,800000.0,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",1,2026-02-02 00:55:47.359204,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,1,2026-02-02 00:55:47.359204,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:55:47.359204,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:55:47.359204,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:55:47.359204,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,1,2026-02-02 00:55:47.359204,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,2,2026-02-02 00:55:48.395180,NG,2.21,2.19,2.23,800000.0,800000.0,0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,2,2026-02-02 00:55:48.395180,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",2,2026-02-02 00:55:48.395180,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,2,2026-02-02 00:55:48.395180,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:55:48.395180,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:55:48.395180,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,2,2026-02-02 00:55:48.395180,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,3,2026-02-02 00:55:49.426890,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,3,2026-02-02 00:55:49.426890,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-02 00:55:49.426890,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-02 00:55:49.426890,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:55:49.426890,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:55:49.426890,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,3,2026-02-02 00:55:49.426890,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,4,2026-02-02 00:55:50.460754,NG,2.2,2.18,2.22,800000.0,800000.0,0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,4,2026-02-02 00:55:50.460754,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-02 00:55:50.460754,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-02 00:55:50.460754,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:55:50.460754,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:55:50.460754,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,4,2026-02-02 00:55:50.460754,ELEC-F,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,5,2026-02-02 00:55:51.490548,NG,2.19,2.17,2.21,800000.0,800000.0,0,0,0,0,0,0,0,0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,5,2026-02-02 00:55:51.490548,ELEC-day2,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-02 00:55:51.490548,ELEC-day3,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-02 00:55:51.490548,ELEC-day4,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-02 00:55:51.490548,ELEC-day5,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
,,,,,,5,2026-02-02 00:55:51.490548,ELEC-day6,0.0,0.0,0.0,,,0,0,0,0,0,0,0,0
