news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,3,2026-02-01 02:59:01.103422,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,3,2026-02-01 02:59:01.103422,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",3,2026-02-01 02:59:01.103422,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,3,2026-02-01 02:59:01.103422,ELEC-day4,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 02:59:01.103422,ELEC-day5,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 02:59:01.103422,ELEC-day6,0.0,0.0,0.0,,
,,,,,,3,2026-02-01 02:59:01.103422,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,4,2026-02-01 02:59:02.143317,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,4,2026-02-01 02:59:02.143317,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",4,2026-02-01 02:59:02.143317,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,4,2026-02-01 02:59:02.143317,ELEC-day4,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 02:59:02.143317,ELEC-day5,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 02:59:02.143317,ELEC-day6,0.0,0.0,0.0,,
,,,,,,4,2026-02-01 02:59:02.143317,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,5,2026-02-01 02:59:03.187163,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,5,2026-02-01 02:59:03.187163,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",5,2026-02-01 02:59:03.187163,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,5,2026-02-01 02:59:03.187163,ELEC-day4,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 02:59:03.187163,ELEC-day5,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 02:59:03.187163,ELEC-day6,0.0,0.0,0.0,,
,,,,,,5,2026-02-01 02:59:03.187163,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,6,2026-02-01 02:59:04.213633,NG,2.2,2.18,2.22,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,6,2026-02-01 02:59:04.213633,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",6,2026-02-01 02:59:04.213633,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,6,2026-02-01 02:59:04.213633,ELEC-day4,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 02:59:04.213633,ELEC-day5,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 02:59:04.213633,ELEC-day6,0.0,0.0,0.0,,
,,,,,,6,2026-02-01 02:59:04.213633,ELEC-F,0.0,0.0,0.0,,
4.0,1.0,1.0,,TEMPERATURE Forecast for DAY 2,The average temperature tomorrow is forecasted to be between 17 and 27 degrees Celsius.,7,2026-02-01 02:59:05.256309,NG,2.19,2.17,2.21,800000.0,800000.0
3.0,1.0,1.0,,You are logged in as a DISTRIBUTOR,,7,2026-02-01 02:59:05.256309,ELEC-day2,0.0,0.0,0.0,,
2.0,1.0,1.0,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",7,2026-02-01 02:59:05.256309,ELEC-day3,0.0,0.0,0.0,,
1.0,1.0,1.0,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,7,2026-02-01 02:59:05.256309,ELEC-day4,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 02:59:05.256309,ELEC-day5,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 02:59:05.256309,ELEC-day6,0.0,0.0,0.0,,
,,,,,,7,2026-02-01 02:59:05.256309,ELEC-F,0.0,0.0,0.0,,
