news_id,period,tick,ticker,headline,body,tick,timestamp,ticker,last_price,bid_price,ask_price,BUY_ANON,SELL_ANON
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,140.0,2026-02-01 01:49:07.068708,NG,2.07,2.05,2.09,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,140.0,2026-02-01 01:49:07.068708,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,140.0,2026-02-01 01:49:07.068708,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",140.0,2026-02-01 01:49:07.068708,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,140.0,2026-02-01 01:49:07.068708,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,140.0,2026-02-01 01:49:07.068708,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,140.0,2026-02-01 01:49:07.068708,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,141.0,2026-02-01 01:49:08.125807,NG,2.07,2.05,2.09,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,141.0,2026-02-01 01:49:08.125807,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,141.0,2026-02-01 01:49:08.125807,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",141.0,2026-02-01 01:49:08.125807,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,141.0,2026-02-01 01:49:08.125807,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,141.0,2026-02-01 01:49:08.125807,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,141.0,2026-02-01 01:49:08.125807,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,142.0,2026-02-01 01:49:09.201888,NG,2.07,2.05,2.09,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,142.0,2026-02-01 01:49:09.201888,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,142.0,2026-02-01 01:49:09.201888,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",142.0,2026-02-01 01:49:09.201888,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,142.0,2026-02-01 01:49:09.201888,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,142.0,2026-02-01 01:49:09.201888,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,142.0,2026-02-01 01:49:09.201888,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,143.0,2026-02-01 01:49:10.262661,NG,2.06,2.04,2.08,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,143.0,2026-02-01 01:49:10.262661,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,143.0,2026-02-01 01:49:10.262661,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",143.0,2026-02-01 01:49:10.262661,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,143.0,2026-02-01 01:49:10.262661,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,143.0,2026-02-01 01:49:10.262661,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,143.0,2026-02-01 01:49:10.262661,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,144.0,2026-02-01 01:49:11.318503,NG,2.06,2.04,2.08,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,144.0,2026-02-01 01:49:11.318503,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,144.0,2026-02-01 01:49:11.318503,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",144.0,2026-02-01 01:49:11.318503,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,144.0,2026-02-01 01:49:11.318503,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,144.0,2026-02-01 01:49:11.318503,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,144.0,2026-02-01 01:49:11.318503,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
7,1,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $17.11 and $23.11.<br><br>There will be 652 contracts available in the entire ELEC market, 326 contracts for buying and 326 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
6,1,150,,SUNLIGHT Forecast for DAY 2,There will be 10 hours of sunlight tomorrow.,,,,,,,,
5,1,90,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 10 and 15 hours of sunlight tomorrow.,,,,,,,,
4,1,2,,SUNLIGHT Forecast for DAY 2,The weather forecasts call for between 6 and 12 hours of sunlight tomorrow.,,,,,,,,
3,1,1,,You are logged in as a PRODUCER,,,,,,,,,
2,1,1,,FINES,"The fine for open positions of ELEC-dayX at the end of the day is $20,000/contract.",,,,,,,,
1,1,1,,Welcome to the RITC2026 GBE Energy Electricity Trading Case - practice server,,,,,,,,,
20,4,89,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 1 and 4 hours of sunlight tomorrow.,145.0,2026-02-01 01:49:12.382701,NG,2.05,2.03,2.07,800000.0,800000.0
19,4,2,,SUNLIGHT Forecast for DAY 5,The weather forecasts call for between 0 and 6 hours of sunlight tomorrow.,145.0,2026-02-01 01:49:12.382701,ELEC-day2,0.0,0.0,0.0,,
18,3,181,,SPOT PRICE AND VOLUMES FOR DAY 4,The Regulatory Authority for Electricity board decided that on day 4 the following prices and volumes will be enforced:<br><br>364 contracts are available for market participants to buy at a price of $18.73<br><br>364 contracts are available for market participants to sell at a price of $18.72,145.0,2026-02-01 01:49:12.382701,ELEC-day3,0.0,0.0,0.0,,
17,3,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $15.85 and $22.85.<br><br>There will be 728 contracts available in the entire ELEC market, 364 contracts for buying and 364 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",145.0,2026-02-01 01:49:12.382701,ELEC-day4,18.72,18.72,18.73,364.0,364.0
16,3,150,,SUNLIGHT Forecast for DAY 4,There will be 3 hours of sunlight tomorrow.,145.0,2026-02-01 01:49:12.382701,ELEC-day5,0.0,0.0,0.0,,
15,3,90,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 2 and 4 hours of sunlight tomorrow.,145.0,2026-02-01 01:49:12.382701,ELEC-day6,0.0,0.0,0.0,,
14,3,2,,SUNLIGHT Forecast for DAY 4,The weather forecasts call for between 0 and 8 hours of sunlight tomorrow.,145.0,2026-02-01 01:49:12.382701,ELEC-F,0.0,0.0,0.0,,
13,2,181,,SPOT PRICE AND VOLUMES FOR DAY 3,The Regulatory Authority for Electricity board decided that on day 3 the following prices and volumes will be enforced:<br><br>402 contracts are available for market participants to buy at a price of $21.36<br><br>402 contracts are available for market participants to sell at a price of $21.35,,,,,,,,
12,2,150,,PRICE AND VOLUME BULLETIN,"Given the expected supply and demand in the market, the Regulatory Authority for Electricity board expects that the price for tomorrow will be between $11.95 and $21.95.<br><br>There will be 804 contracts available in the entire ELEC market, 402 contracts for buying and 402 contracts for selling. There are a total of 19 Producers, 19 Distributors and 38 Traders in the market.<br><br>Please note that the RAE will charge a bid-ask spread of 1 cent",,,,,,,,
11,2,150,,SUNLIGHT Forecast for DAY 3,There will be 5 hours of sunlight tomorrow.,,,,,,,,
10,2,90,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 3 and 7 hours of sunlight tomorrow.,,,,,,,,
9,2,2,,SUNLIGHT Forecast for DAY 3,The weather forecasts call for between 1 and 6 hours of sunlight tomorrow.,,,,,,,,
8,1,181,,SPOT PRICE AND VOLUMES FOR DAY 2,The Regulatory Authority for Electricity board decided that on day 2 the following prices and volumes will be enforced:<br><br>326 contracts are available for market participants to buy at a price of $19.16<br><br>326 contracts are available for market participants to sell at a price of $19.15,,,,,,,,
